City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Gijang,35.2442,129.2139,51.04,25,15,4.72,KR,1675825628
81,Hofn,64.2539,-15.2082,32.85,60,100,18.3,IS,1675825402
82,Pizarro,4.9533,-77.366,77.4,89,35,2.28,CO,1675825631
83,Port Elizabeth,-33.918,25.5701,67.32,92,100,3.0,ZA,1675825633
84,Qaanaaq,77.484,-69.3632,-25.42,67,6,6.13,GL,1675825585
85,Fauske,67.2588,15.3918,42.84,79,94,11.86,NO,1675825636
86,Kaithal,29.8,76.3833,53.02,45,10,5.37,IN,1675825638
87,Chokurdakh,70.6333,147.9167,-35.82,99,100,3.44,RU,1675825583
88,Saint-Augustin,51.226,-58.6502,-3.23,87,15,5.03,CA,1675825642
89,Aksu,41.1231,80.2644,25.27,64,8,4.54,CN,1675825643
90,Butaritari,3.0707,172.7902,81.05,81,100,21.61,KI,1675825644
91,Viedma,-40.8135,-62.9967,67.14,62,37,8.37,AR,1675825646
92,Cabedelo,-6.9811,-34.8339,74.07,75,99,8.3,BR,1675825379
93,Husavik,66.0449,-17.3389,23.34,72,91,14.76,IS,1675825569
94,Duayaw-Nkwanta,7.1724,-2.1028,70.83,93,99,2.44,GH,1675825650
95,Quimper,48.0,-4.1,36.16,80,0,6.91,FR,1675825651
96,Atuona,-9.8,-139.0333,79.16,75,24,16.69,PF,1675825579
97,Henties Bay,-22.116,14.2845,64.33,90,43,5.5,NA,1675825654
98,Kruisfontein,-34.0033,24.7314,64.89,83,100,4.41,ZA,1675825657
99,Evensk,61.95,159.2333,-15.68,77,58,6.29,RU,1675825658
100,Upernavik,72.7868,-56.1549,-22.7,95,47,4.05,GL,1675825577
101,Wawa,9.9022,4.4192,77.92,23,38,4.83,NG,1675825492
102,Thompson,55.7435,-97.8558,4.14,98,99,2.86,CA,1675825662
103,Grand Gaube,-20.0064,57.6608,79.38,79,24,5.01,MU,1675825666
104,Kavieng,-2.5744,150.7967,81.99,77,100,8.81,PG,1675825667
105,Aranda de Duero,41.6704,-3.6892,35.56,87,65,14.76,ES,1675825669
106,Ust'-Uda,54.1742,103.0304,2.84,97,100,2.8,RU,1675825670
107,Itarema,-2.9248,-39.9167,77.52,82,100,8.3,BR,1675825672
108,Santa Catarina de Tepehuanes,25.35,-105.7333,47.62,39,3,6.82,MX,1675825673
109,Petropavlovka,50.6114,105.3196,0.43,93,54,2.73,RU,1675825675
110,Jinchang,38.4953,102.1739,25.97,82,100,3.0,CN,1675825598
111,Hambantota,6.1241,81.1185,79.14,94,20,9.22,LK,1675825677
112,Tambopata,-12.7333,-69.1833,71.47,98,66,1.28,PE,1675825679
113,Inta,66.0317,60.1659,13.89,93,100,28.14,RU,1675825680
114,Sarankhola,22.3082,89.7897,77.04,58,0,6.13,BD,1675825511
115,Half Moon Bay,37.4636,-122.4286,55.33,75,0,9.22,US,1675825683
116,Mirabela,-16.2628,-44.1644,72.46,69,81,1.63,BR,1675825684
117,Port Augusta,-32.5,137.7667,95.92,13,0,8.79,AU,1675825686
118,Saint George,37.1041,-113.5841,46.99,47,0,1.99,US,1675825688
119,Puerto Ayora,-0.7393,-90.3518,79.56,92,55,5.01,EC,1675825573
120,Isla Mujeres,21.2311,-86.731,78.85,84,0,17.4,MX,1675825691
121,Bredasdorp,-34.5322,20.0403,64.85,81,7,6.55,ZA,1675825592
122,Siyabuswa,-25.1132,29.0445,69.19,68,47,4.61,ZA,1675825693
123,Pareora,-44.4871,171.2132,62.02,65,16,20.29,NZ,1675825696
124,Mar del Plata,-38.0023,-57.5575,74.08,94,0,20.0,AR,1675825554
125,Vao,-22.6667,167.4833,80.28,70,34,13.62,NC,1675825699
126,Khatanga,71.9667,102.5,-47.51,100,63,2.93,RU,1675825700
127,Chapais,49.7834,-74.8492,22.78,95,100,9.82,CA,1675825702
128,Codrington,-38.2667,141.9667,66.56,58,80,15.08,AU,1675825703
129,Finschhafen,-6.6024,147.8681,85.64,72,98,7.02,PG,1675825705
130,Alofi,-19.0595,-169.9187,82.29,83,100,8.05,NU,1675825706
131,Les Cayes,18.2,-73.75,74.14,78,16,3.76,HT,1675825708
132,Ouadda,8.0777,22.4007,71.56,15,23,9.75,CF,1675825709
133,Kapaa,22.0752,-159.319,78.78,85,75,16.11,US,1675825710
134,Kaseda-shirakame,31.4167,130.3167,57.47,53,40,12.1,JP,1675825712
135,Gweta,-20.1833,25.2333,75.67,57,79,4.43,BW,1675825713
136,Hasaki,35.7333,140.8333,54.0,67,100,20.62,JP,1675825514
137,Nantucket,41.2835,-70.0995,37.54,79,40,13.8,US,1675825649
138,Yangi Marg`ilon,40.4272,71.7189,30.92,80,99,4.61,UZ,1675825718
139,Olinda,-8.0089,-34.8553,76.73,73,20,3.44,BR,1675825670
140,Sitka,57.0531,-135.33,35.49,80,75,5.75,US,1675825720
141,Alyangula,-13.8483,136.4192,86.88,65,100,4.27,AU,1675825722
142,Kieta,-6.2167,155.6333,85.73,67,31,8.43,PG,1675825723
143,Korla,41.7597,86.1469,31.32,81,13,2.62,CN,1675825725
144,Grindavik,63.8424,-22.4338,27.07,59,75,31.07,IS,1675825726
145,Ribeira Grande,38.5167,-28.7,54.77,67,27,5.01,PT,1675825729
146,Lorengau,-2.0226,147.2712,78.28,92,100,19.26,PG,1675825730
147,Bengkulu,-3.8004,102.2655,83.62,57,65,7.02,ID,1675825616
148,Giresun Province,40.5,38.5,-2.58,97,100,3.8,TR,1675825732
149,Cabo San Lucas,22.8909,-109.9124,69.51,61,75,1.01,MX,1675825734
